sk_id;data_referencia;data_extracao;site;categoria;marca;termo_buscado;titulo_anuncio;quantidade_embalagem;preco_total_anuncio;preco_unitario;link
698327d647227b41e8fcb7198a958ffd;2026-06-28;2026-06-28 21:15:48.406674;Amazon;refrigerante;Coca-Cola;Refrigerante Coca-Cola Pet 2L;Coca-Cola Original 2L;1;9.68;9.68;https://www.amazon.com.br/Coca-Cola-Original-2l-Unidade/dp/B07SYGDBZD/ref=sr_1_1_br_f3_0g_amnow?dib=eyJ2IjoiMSJ9.ongjZ2RRtL-zzRpEodC58WI0yn7DiAN3xS82yMNaQJqScNMMiqoTQsSmDP_Z6EbqnMhgQ8LGx3Cl44_g9mvlCfe6Gm6KLHcaWGxXsHRSzD_v1bcVVIJ5rDxmdjJTjffBi8AVCe_CrqTgzzd6M2H6Q6scqfUqG_5wmPE5etc_Gy_7nPscNnWBoxtuFHdUUq4GGIVxFPr17Nbl2f3bQxrvlfzcR78Ehn3btE8MJWaqVZ4WTVXoORR3P0yLvh8yJrP9kCIcErP-erzVbWYpgvtA01Pp6KOJWGxquAnpapKeZPQ.hInHRH7gEPgyklH5CFP17rmH_lFK5e72BvaSLhJGRZw&dib_tag=se&keywords=Refrigerante+Coca-Cola+2L&qid=1782692024&s=grocery&sr=1-1
5c96e8e0c5aa110df979940d32080745;2026-06-28;2026-06-28 21:15:13.737074;Amazon;cerveja;Heineken;Cerveja Heineken Lata 350ml;Heineken Cerveja Sleek Lata 350ml Pack 12 Unidades;12;59.9;4.99;https://www.amazon.com.br/Cerveja-Heineken-Pilsen-LATA-350/dp/B0CMXW6ZYB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.a3PcRuRLe393pB7OIiSy4-azYaVLmKA4fGdGYdQO7FBy40_O_e03HRH7W9ChStBDTGssHALuiJrcHWXLCaiToIX_sbAghw2cgJ-EANvJHQ5tRkDYkB8QCaXryUtvBG-5MaqePH3nG2hdjReYbUpET2hw_kZ5rsCF_miw5EnCOGzM09gUwWqiHFSlmrBEFNxBUp9shezkkhjNEgutfgFbkmZTTLDJzWFrwl_iQ3k9x17a58HH8tz2UTl_89F1pqDisB5zP9QCkbGEybj0-2chishYG2gctUyLngO5iYO7amg.aRtp-wEx_1Oq0kyKa1_SnQaRkLWgIvdti2hZkE9vqmU&dib_tag=se&keywords=Cerveja+Heineken+350ml&qid=1782691987&s=grocery&sr=1-1
5e9884971c1f025d7b73615d050f5b60;2026-06-28;2026-06-28 21:15:31.392968;Amazon;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Johnnie Walker Red Label 1L;1;88.87;88.87;https://www.amazon.com.br/Whisky-Johnnie-Walker-Label-Blended/dp/B004Q47N5G/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6_W5nvO8nbL1-obijYzgd4X9sGjwjKD8kpiurG_IqMGoXONTSTjcarvHJqBDOHi5vyyqPIiYP0zKslN1_iceAjXaE8EQ7SKZcjTZtLyOcCD0JryAy1h9fL0KP_T7Rog-_mOwYEJid7_MPuHJX8VvEjRiMeux_EpSpgM3y8nLY9XTU6qhxu_QA4LecXxl4ISx2uGDgI177uVSMeIqhAN738_2ik1khTrFkSms5sDwdoL-rCtbjmvWoR918nmsApynxN1TxqpMYPQTRUl4Nux4yiP5ip31Juj6Pcqt9-mq1Gk.6HlSvWG2B4PZ5PO6k2Z9shI-dqfAaQ7Xjrk0gVAzs4Q&dib_tag=se&keywords=Whisky+Johnnie+Walker+Red+Label+1L&qid=1782692007&s=grocery&sr=1-1
d7880c574edc4a786bcd60f8306e78aa;2026-06-28;2026-06-28 21:15:39.871179;Amazon;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Red Bull Energético, Energy Drink, 250ml, 4 latas;4;29.96;7.49;https://www.amazon.com.br/Energ%C3%A9tico-Energy-Drink-250ml-latas/dp/B004HOEU4M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.JvY5LmZFXrijIu9gzwUf2ctHQeZ3EZ13FLtIhS9uRxQfTZZpnmK_0NFAnDWTkZCnwBvck1Ob0yC1Mxq98tUWmpIint4rBur2716QURWaIItg-ZqzqJlVgghwyoP4NrW9RWanwcuvWypQVOeppN237nU7LNAb74EyKc0X8awZzDMOBrvdsjZQY_p-UI4IsBdX9Y-W1Nsv_QMl6auo9KVm7dLp3hYcvxbp7TlKOGWtTj21APXySn9lFNtMYwv0YIcfItrUpTH6X2mBn8KnOch9gwzaA_AnfoDqK9hcBpfrX5g.kkTVHwWiUAsy-FILPVBc91PC4ZK1XM6dz4d7BUSYloo&dib_tag=se&keywords=Energetico+Red+Bull+Energy+Drink+250ml&qid=1782692015&s=grocery&sr=1-1
7c79e4e5db9d0c9b106d6e9ceb5a5866;2026-06-28;2026-06-28 21:15:23.045572;Amazon;cerveja;Spaten;Cerveja Spaten Lata 350ml;Pack Cerveja Spaten, Puro Malte, 350ml, Lata - 12 Unidades;12;47.7;3.98;https://www.amazon.com.br/Pack-Cerveja-Spaten-Malte-350ml/dp/B0CN9NGTXK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.2H54ArIn9F0DKsCKbNWMtJ6YKAD2_ym-xJ33f1gh1gfxveIjR0ywrxwo-vCZQBNnMMB55sPbuYEC9DZzv9YtbrOuZN5QM_ZKQaL4yiOOR5n0DOhdgZeVRFPJVCWTGTQitblCAwNrRvZmhmOZK_FVS7_cQb5-sRYXQaoG8pWkPsZhY2vIzxJcXI3Be2LRvwjojHCBZJy-v1g7fSb1bIVhTLiENFohc-UWgcaz9LEVgkMv_2VmRnNoFLnv_mHWENJJH6eOHpyFv6FX7_N07c2aADIF3DCoG_VdkD2YFTem-vc.VP5Wc3qX8tQv_AokMRMngDRTbpwf1SMOejjcUOMtMOk&dib_tag=se&keywords=Cerveja+Spaten+350ml&qid=1782691998&s=grocery&sr=1-1
88810de522366a23016c9c2f7d2e7d8e;2026-06-28;2026-06-28 21:17:13.474460;Atacadao;refrigerante;Coca-Cola;Refrigerante Coca-Cola Pet 2L;Refrigerante Coca-Cola 2L;1;12.19;12.19;Extraido via Menu Dropdown
b3644b0606d74465be3a2a54a130359b;2026-06-28;2026-06-28 21:16:39.289940;Atacadao;cerveja;Heineken;Cerveja Heineken Lata 350ml;Cerveja Heineken Sleek 350ml;1;4.69;4.69;Extraido via Menu Dropdown
2519cb43a6a349cc171e7288a18affd4;2026-06-28;2026-06-28 21:16:55.969235;Atacadao;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Johnnie Walker Red Label 1L;1;79.9;79.9;Extraido via Menu Dropdown
fd9c54df1c4e39c7baea8fa150b9f3e0;2026-06-28;2026-06-28 21:17:05.369542;Atacadao;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Energético Red Bull Energy Drink 250ml;1;9.49;9.49;Extraido via Menu Dropdown
2df2debf998ca756f9b9bc9922d864eb;2026-06-28;2026-06-28 21:16:47.022112;Atacadao;cerveja;Spaten;Cerveja Spaten Lata 350ml;Cerveja Spaten Puro Malte 350ml;1;3.99;3.99;Extraido via Menu Dropdown
dde35d67f74c492a907a868141732a60;2026-06-28;2026-06-28 21:17:47.367683;PaoDeAcucar;cerveja;Heineken;Cerveja Heineken Lata 350ml;Cerveja Heineken Lata Sleek 350ml;1;5.29;5.29;https://www.paodeacucar.com/produto/1606865/cerveja-heineken-lata-sleek-350ml
